"artist","title","times_played"
Marcy Playground,Sex & Candy,11
Violent Femmes,Blister In The Sun,11
Weezer,Beverly Hills,11
The Beaches,Want What You Got,11
Hollerado,Born Yesterday,11
No Doubt,Don't Speak,11
R.E.M.,Losing My Religion,11
Tragically Hip,Wheat Kings,11
The Black Keys,Little Black Submarines,11
Metric,Gimme Sympathy,11
Garbage,Only Happy When It Rains,11
The 1975,Somebody Else,11
Primitive Radio Gods,Standing Outside A Broken Phone Booth...,11
Stereophonics,Have a Nice Day,11
Beastie Boys,Intergalactic,11
The Black Keys,Gold On The Ceiling,11
New Order,Bizzare Love Triangle,11
Violent Femmes,American Music,11
Veruca Salt,Seether,11
Said The Whale,UnAmerican,11
Hotel Mira,Better On Your Own,11
Cold War Kids,Complainer,11
The Strumbellas,Salvation,11
Michael Andrews/Gary Jule,Mad World,11
Dope Lemon,Rose Pink Cadillac,10
Depeche Mode,Policy Of Truth,10
Spacehog,In The Meantime,10
Sam Fender,Seventeen Going Under,10
Lo Moon,Dream Never Dies,10
Iggy Pop,Lust For Life,10
Stone Temple Pilots,Interstate Love Song,10
Red Hot Chili Peppers,Californication,10
Beastie Boys,Sabotage,10
R.E.M.,Man On The Moon,10
Jane's Addiction,Been Caught Stealing,10
Love & Rockets,So Alive,10
Cranberries,Linger,10
Spoon,The Hardest Cut,10
Garbage,Stupid Girl,10
The Lumineers,Gloria,10
Dan Mangan,Troubled Mind,10
The Lumineers,Angela,10
The Glorious Sons,S.O.S.,10
Depeche Mode,People Are People,10
USS,Who's With Me,10
Lost In Japan,Red Line,10
The Rural Alberta Advantage,Bad Luck Again,10
Third Eye Blind,Jumper,10
Pixies,Here Comes Your Man,10
Rag'n'Bone Man,Human,10
Smashing Pumpkins,Today,10
Blind Melon,No Rain,9
City and Colour,Strangers,9
Pearl Jam,Last Kiss,9
Metric,Poster Of A Girl,9
Nathaniel Rateliff & The Night Sweats,S.O.B.,9
Pearl Jam,Jeremy,9
Dear Rouge,Heard I Had,9
City And Colour,Grand Optimist,9
Lumineers,Cleopatra,9
The Psychedelic Furs,Pretty In Pink,9
Death Cab For Cutie,I Will Follow You Into The Dark,9
Jane's Addiction,Jane Says,9
Pearl Jam,Daughter,9
Kings of Leon,Time In Disguise,9
Mother Mother,Give Me Back The Night,8
Arkells,Hand Me Downs,8
Pearl Jam,Alive,8
Metric,Risk,8
The Beaches,T-Shirt,8
Mother Mother,The Drugs,8
Cannons,Bad Dream,7
Temple Of The Dog,Hunger Strike,7
Mother Mother,It's Alright,7
Matt Maeson,Blood Runs Red,7
Twenty One Pilots,Heathens,7
Metric,Now Or Never Now,7
City And Colour,Sleeping Sickness,7
Arkells,Quitting You,7
Elastica,Connection,7
Arcade Fire,Neighborhood #3,7
Radiohead,Paranoid Android,7
Dear Rouge,Live Through The Night,7
R.E.M.,The One I Love,7
Blink 182,Adam's Song,7
Red Hot Chili Peppers,Give It Away,7
Mother Mother,Get Up,7
Radiohead,Just,7
Weezer,Undone - The Sweater Song,7
Nirvana,Lithium,7
Pearl Jam,Elderly Woman,6
City And Colour,Save Your Sissors,6
Maneskin,Supermodel,6
Sam Roberts Band,Ascension,6
Metric,Dark Saturday,6
Twenty One Pilots,Tear In My Heart,6
Oasis,Morning Glory,6
Dear Rouge,Boys & Blondes,6
Red Hot Chili Peppers,These Are The Ways,6
Arcade Fire,Rebellion (Lies),6
Inhaler,Cheer Up Baby,5
Foster The People,Pumped Up Kicks,5
Nathaniel Rateliff & The Night Sweats,Face Down In The Moment,5
City And Colour,The Girl,5
The Walters,I Love You So,5
Twenty One Pilots,Heavydirtysoul,5
Twenty One Pilots,The Outside,5
Girl In Red,I'll Call You Mine,5
Arcade Fire,Wake Up,4
Arkells,Knocking At The Door,4
Beck,Loser,4
Destroyer,It Takes A Thief,3
"311",Amber,3
The Smashing Pumpkins,Perfect,3
Screaming Trees,Nearly Lost You,3
Panic! At The Disco,Viva Las Vengeance,3
The War On Drugs,Change,3
Weezer,Buddy Holly,3
Birds of Bellwoods,One By One,3
Ben Harper,Steal My Kisses,3
The White Stripes,Fell In Love With A Girl,2
Fiona Apple,Criminal,2
The Smashing Pumpkins,Cherub Rock,2
Soup Dragons,I'm Free,2
Echo & The Bunnymen,Lips Like Sugar,2
Kate Bush,Running Up That Hill (A Deal with God),2
Sloan,Coax Me,2
My Chemical Romance,Welcome To The Black Parade,2
Pixies,Debaser,2
Green Day,Basket Case,2
Billie Eilish,Bad Guy,2
Imagine Dragons,Radioactive,2
L7,Pretend That We're Dead,2
Jack White,Love Interruption,2
Foo Fighters,Best Of You,2
Audioslave,Doesn't Remind Me,2
The Verve,Sonnet,2
The Donnas,Take It Off,2
Arcade Fire,Unconditional I (Look Out Kid),2
The Cure,Close To Me,2
Spirit Of The West,Home For Rest,2
Blink 182,I Miss You,2
Butthole Surfers,Pepper,2
The Killers,Smile Like You Mean It,2
Edwyn Collins,A Girl Like You,2
The Cure,Lullaby,2
Blink 182,All The Small Things,2
HAIM,The Wire,2
Cake,Love You Madly,2
Supergrass,Pumping On Your Stereo,2
"Peter, Bjorn and John",Young Folks,2
Pearl Jam,Black,2
Stone Temple Pilots,Lady Picture Show,2
Better Than Ezra,Desperatly Wanting,2
Pearl Jam,Elderly Woman Behind The Counter In A Small Town,2
The Cure,Boys Don't Cry,1
Jack Johnson,Flake,1
Eels,Novocaine For The Soul,1
Junkhouse,Shine,1
Offspring,"You're Going To Go Far, Kid",1
Portugal. The Man,Feel It Still,1
Portugal. The Man,Live In The Moment,1
New Order,True Faith '94,1
Audioslave,I Am The Highway,1
Pure,Denial,1
EMF,Unbelievable,1
The Clash,London Calling,1
Fatboy Slim,Weapon Of Choice,1
Sandbox,Curious,1
Massive Attack,Teardrop,1
The White Stripes,Icky Thump,1
Black Pistol Fire,Hope In Hell,1
Nathaniel Rateliff & The Night Sweats,You Worry Me,1
Depeche Mode,Never Let Me Down Again,1
Jimmy Eat World,Sweetness,1
Johnny Cash,Hurt,1
Offspring,Self Esteem,1
Big Audio Dynamite,Rush,1
Beck,E-Pro,1
Garbage,Special,1
Morrisey,Every Day Is Like Sunday,1
Crazy Town,Butterfly,1
Black Pistol Fire,Bully,1
Moby,Natural Blues,1
Verve,Lucky Man,1
Jack White,Taking Me Back,1
The National,Graceless,1
Stone Temple Pilots,Plush (ACOUSTIC),1
Florence And The Machine,Hunger,1
Smashing Pumpkins,Bullet With Butterfly Wings,1
Stone Temple Pilots,Vasoline,1
Cracker,Low,1
Limblifter,Tinfoil,1
Amy Shark,Adore,1
Franz Ferdnand,No You Girls,1
The Jesus & Mary Chain,Just Like Honey,1
Goo Goo Dolls,Slide,1
Cage The Elephant,Trouble,1
Manic Street Preachers,If You Tolerate This Your Children Will Be Next,1
Jack Johnson,"Sitting, Waiting, Wishing",1
Blur,Parklife,1
Hole,Malibu,1
The Cure,Fascination Street,1
Tokyo Police Club,Cheer It On,1
Half Moon Run,Turn Your Love,1
Nirvana,In Bloom,1
Oasis,Live Forever,1
Goo Goo Dolls,Name,1
Tenacious D,Tribute,1
Florence and the Mcahine,King,1
Coldplay,God Put A Smile Upon Your Face,1
AWOLNATION,Not Your Fault,1
CHVRCHES,The Mother We Share,1
City and Colour,Harder Than Stone,1
Pearl Jam,Even Flow,1
The Smiths,How Soon Is Now,1
Kaleo,Way Down We Go,1
Queens Of The Stone Age,No One Knows,1
Garbage,Queer,1
Spirit Of the West,And If Venice Is Sinking,1
Weezer,Africa,1
Cage The Elephant,Mess Around,1
Ramones,Blitzkrieg Bop,1
The White Stripes,The Hardest Button To Button,1
Our Lady Peace,Clumsy,1
Hot Hot Heat,Middle Of Nowhere,1
Pearl Jam,Yellow Leadbetter,1
Foo Fighters,Everlong (ACOUSTIC),1
Foo Fighters,Times Like These,1
Luscious Jackson,Naked Eye,1
Hawksley Workman,We Will Still Need A Song,1
Barnes Courtney,"99",1
Limblifter,Wake Up To The Sun,1
Allan Rayman,"13",1
Depeche Mode,Strangelove,1
Holly McNarland,Numb,1
The White Stripes,Hotel Yorba,1
Twenty One Pilots,Ride,1
Bran Van 3000,Drinking In LA,1
Jesus Jones,"Right Here, Right Now",1
Coldplay,Viva La Vida,1
Garbage,#1 Crush,1
The Clash,This Is Radio Clash,1
Filter,Take A Picture,1
Fiona Apple,Across the Universe,1
Cake,Never There,1
Moby,Porcelian,1
Age of Electric,Remote Control,1
Fatboy Slim,The Rockefellar Skank,1
The National,Bloodbuzz Ohio,1
Depeche Mode,Everything Counts,1
Watchmen,All Uncovered,1
Our Lady Peace,Naveed,1
"311",Love Song,1
Yeah Yeah Yeahs,Heads Will Roll,1
